	file	label	text
0	Audit (10).java	audit	namespace cc net config components wizards summary provides easy way configure auditing summary partial security xml auditing wizard page wizard page region constructors summary initialises new instance see cref security auditing wizard page summary security xml auditing wizard page initialize component summary initialiases new instance see cref security auditing wizard page links previous page summary param name previous page param security xml auditing wizard page wizard page previous page base previous page initialize component endregion region private methods region auditing allowing checked changed summary sets state rest settings summary param name sender param param name e param auditing allowing checked changed object sender event args e audit properties enabled auditing allowing checked endregion endregion namespace cc net config ui wizards partial xml auditing configuration summary required designer variable summary system component model i container components null summary clean resources used summary param name disposing true managed resources disposed otherwise false param protected dispose bool disposing disposing components null components dispose base dispose disposing region component designer generated code summary required method designer support modify contents method code editor summary initialize component xml settings new system windows forms group box audit failed new system windows forms check box audit successful new system windows forms check box use xml auditing new system windows forms check box xml settings suspend layout suspend layout xml settings xml settings anchor system windows forms anchor styles system windows forms anchor styles top system windows forms anchor styles bottom system windows forms anchor styles left system windows forms anchor styles right xml settings controls add audit failed xml settings controls add audit successful xml settings enabled false xml settings location new system drawing point xml settings name xml settings xml settings size new system drawing size xml settings tab index xml settings tab stop false audit failed audit failed auto size true audit failed checked true audit failed check state system windows forms check state checked audit failed location new system drawing point audit failed name audit failed audit failed size new system drawing size audit failed tab index audit failed text audit failed events audit failed use visual style back color true audit successful audit successful auto size true audit successful location new system drawing point audit successful name audit successful audit successful size new system drawing size audit successful tab index audit successful text audit successful events audit successful use visual style back color true use xml auditing use xml auditing auto size true use xml auditing location new system drawing point use xml auditing name use xml auditing use xml auditing size new system drawing size use xml auditing tab index use xml auditing text use xml auditing logging use xml auditing use visual style back color true use xml auditing checked changed new system event handler use xml auditing checked changed xml auditing configuration auto scale dimensions new system drawing size f f f auto scale mode system windows forms auto scale mode font controls add use xml auditing controls add xml settings name xml auditing configuration padding new system windows forms padding size new
1	Audit (11).java	audit	oa form auditing extends oa form edit domain string history form common history form oa form auditing set form view history form protected get model map model http servlet request request object command throws exception super get model model request command list history audit util get auditing auditable command model put command history history string get title http servlet request request object command return get text get history super get title request command audit util list get auditing auditable auditable value list info info new value list info info add sort column oa bean util timestamp field column sort desc info add sort column oa bean util version field column sort desc info add filter named param op equals oa class util get persistent class name auditable return oa domain util get references to audit action id identifiable auditable info list get line item auditing auditable auditable auditable line line value list info info class auditable line class line get audit log class info null info new value list info info add sort column oa bean util id field column sort asc info add filter named param source line id op equals base object line get id string info add filter named param parent clazz op equals auditable get audit log class get name return oa domain util get all auditable line class info delete auditing given auditable object delete auditing auditable auditable iterator get auditing auditable iterator next oa domain util remove next delete auditing given auditable object except first last auditing entries delete intermediate auditing auditable auditable throw new illegal argument exception delete intermediate auditing untested list vl get auditing auditable vl size oa domain util remove vl get handle add auditable auditable check type and exists auditable false audit add action add action new audit add action add action set who base object concrete auditable add action set user auth get current user name make copy target object save audit log add action set what base object new audit log object auditable add action oa domain util add add action handle print auditable auditable check type and exists auditable true audit print action print action new audit print action base object concrete auditable null auth get current user name oa domain util add print action handle update auditable auditable check type and exists auditable true audit update action update action new audit update action update action set who base object concrete auditable update action set user auth get current user name create audit log object copy target object update action set what base object new audit log object auditable update action oa domain util add update action handle delete auditable auditable check type and exists auditable true delete auditing auditable check type and exists auditable auditable boolean require saved must base object concrete well auditable auditable instanceof base object concrete throw new illegal argument exception audit util action object auditable must base object concrete require saved version must null ie already saved oa bean util get version auditable null throw new illegal argument exception audit util handle update object
2	Audit (2).java	audit	set audit trail format database info database query format format database valid database database audit trail format format get audit trail format database info database database valid database return database audit trail format else return null clear audit trail format database info database database audit trail format null free query format list database audit trail format database audit trail format null char new audit trail entries null send audit mail pr pr pr old pr char edit user email addr char new audit trail entries error desc err format named parameter parms null database info database pr database parms allocate named parameter edit user email addr edit user email addr parms parms allocate named parameter new audit trail new audit trail entries parms strcmp field value pr responsible database field value old pr responsible database parms allocate named parameter old responsible field value old pr responsible database parms compose mail message pr old pr audit mail parms null err free format parameter list parms add entry audit trail field params format parameters used composing entry fmt format audit trail entry add add audit trail ent pr pr query format fmt format named parameter params error desc err char new audit string null char audit string char char curr date get curr date fmt null fmt get audit trail format pr database format new audit entry process format null new audit string pr null fmt n params squirrel away need mail later append new audit trail entries new audit string now append formatted audit trail field field value pr audit trail pr database null audit string xstrdup append audit string new audit string set field pr audit trail pr database audit string err free audit string free new audit string field invalid field index action list add audit trail add audit trail ent pr action list audit trail format params err action list action list next field invalid field index field def for index field datatype multi text change actions global actions global change actions pr database global actions null global actions add audit trail add audit trail ent pr global actions audit trail format new audit trail entries null send audit mail new pr pr edit user email addr new audit trail entries err free new audit trail entries new audit trail entries null res add audit trail res audit trail format null strncat new audit copy ptr copy ptr strcat new audit char new audit char copy ptr len len len closed date set changed separator p field value pr audit trail pr database p null strlen p no audit trail initialize closed date set field pr closed date pr database err return new audit xmalloc strlen p new audit strcat new audit copy ptr set field pr audit trail pr database new audit err free new audit set audit text changed when clock format clock seconds n append audit text changed by tk gnats log name tk gnats full name foreach require audit email reason check audit trail opts require proc get audittrail state field info exists tk gnats server
3	Audit (3).java	audit	update audit trail information data set long object version num data get as long object version num data set date last modified time new date system current time millis data set long last modified by add audit trail table row data connection conn throws sql exception table row exception statement statement null result set rs null try statement conn create statement statement execute update get create audit trail statement data throw new table row exception didn create audit trail row unknown reason finally dbaccess complete conn statement rs string get create audit trail statement table row data string buffer buf null buf new string buffer buf append insert into job audit trail buf append table name username change type change date primary key value buf append values buf append data get table name data get username null buf append unknown else buf append data get username data new buf append insert else data dirty buf append update else data removed buf append delete else buf append unknown buf append data get sql value last modified time buf append data get primary key log debug audit trail buf string collection load audit trail history oid oid connection conn throws exception prepared statement statement null result set rs null linked list list null list new linked list try statement conn prepare statement select username change type change date from job audit trail where table name and primary key value order by change date statement set string oid get table name statement set string oid get key rs statement execute query rs next audit trail info info null info new audit trail info audit trail info ublic audit trail info implements serializable audit trail fields audit trail fields add new mdm field object version num audit trail fields add new mdm field last modified by audit trail fields add new mdm field last modified time date linked list audit trail fields new linked list iterator get audit trail fields return audit trail fields iterator set has audited class boolean value audited class value boolean audited class return audited class shell audit dba add audit trail shell get data source jndi data source get connection shell audit dba add audit trail shell get data source jndi data source get connection collection load audit trail history base dba dba string jndi data source oid oid throws remote exception try return dba load audit trail history oid get data source jndi data source get connection get audit trail history code persist code object collection get audit trail history throws persist exception get data shell get data audit throw new persist exception this persist type audited return pmanager get audit trail history get oid output constructor for fields md get audit trail fields pwriter tm add audit trail table row shell connection conn servlet reply get audit trail history http servlet request request http servlet response response throws exception object input stream ois null collection result null servlet reply sr null object args null try ois new object input stream new buffered input stream request get input stream args
4	Audit (4).java	audit	iterator event audits activity process the following names may used time stamp username event type activity key activity name process key process name process mgr name process mgr version package id process definition id process definition name activity definition id activity definition name activity definition type applied event types p here list attributes specified applied specific event type p wf create process event audit p activity key p process key p process name p process mgr name p process mgr version p package id p process definition id p process definition name p activity definition id p activity definition name p wf data event audit old data var id new data var id var id id variable appropriate process activity p wf state event audit old state new state p wf assignment event audit old res new res accepted wf event audit iterator wrapper extends base iterator wrapper implements wf event audit iterator protected string proc id protected string act id protected wf event audit iterator wrapper wm session handle shandle string proc id throws exception super shandle proc id proc id protected wf event audit iterator wrapper wm session handle shandle string proc id string act id throws exception super shandle proc id proc id act id act id wf event audit get next object throws exception stamp shark utilities method start shandle wf event audit iterator wrapper get next object try check security get next object null return wf event audit super get next object finally shark utilities method end shandle stamp wf event audit iterator wrapper get next object wf event audit get previous object throws exception stamp shark utilities method start shandle wf event audit iterator wrapper get previous object try check security get previous object null return wf event audit super get previous object finally shark utilities method end shandle stamp wf event audit iterator wrapper get previous object wf event audit get next n sequence max number throws exception stamp shark utilities method start shandle wf event audit iterator wrapper get next n sequence try check security get next n sequence null wf event audit ret null list super get next n sequence max number ret new wf event audit size array ret return ret finally shark utilities method end shandle stamp wf event audit iterator wrapper get next n sequence wf event audit get previous n sequence max number throws exception stamp shark utilities method start shandle wf event audit iterator wrapper get previous n sequence try check security get previous n sequence null wf event audit ret null list super get next n sequence max number ret new wf event audit size array ret return ret finally shark utilities method end shandle stamp wf event audit iterator wrapper get previous n sequence protected fill object list throws exception object list null return list events new array list event audit manager interface eam shark engine manager get instance get default event audit manager null eam list new array list act id null add all eam restore process history shandle proc id else add all eam
5	Audit (5).java	audit	package org jivesoftware openfire security the default security audit provider stores logs security audit log table default security audit provider implements security audit provider string log entry insert into security audit log msg id username entry stamp summary node details values string get events select msg id username entry stamp summary node details from security audit log string get event select msg id username entry stamp summary node details from security audit log where msg id string get event count select count msg id from security audit log constructs new default security audit provider default security audit provider the default provider logs events security audit log table database log event string username string summary string details connection con null prepared statement pstmt null try msg id sequence manager next id jive constants security audit con db connection manager get connection pstmt con prepare statement log entry pstmt set long msg id pstmt set string username pstmt set long new date get time pstmt set string string utils abbreviate summary pstmt set string xmpp server get instance get server info get hostname pstmt set string details pstmt execute update catch sql exception e log warn error trying insert new row security audit log e finally db connection manager close connection pstmt con the default provider retrieves events security audit log table database list security audit event get events string username integer skip events integer num events date start time date end time list security audit event events new array list security audit event connection con null prepared statement pstmt null result set rs null string sql get events boolean added one false username null sql where username added one true start time null added one sql where else sql and sql entry stamp added one true end time null added one sql where else sql and sql entry stamp sql order by entry stamp desc try con db connection manager get connection pstmt db connection manager create scrollable prepared statement con sql skip events null db connection manager scroll result set rs skip events num events null db connection manager set fetch size rs num events username null pstmt set string username start time null pstmt set long start time get time end time null pstmt set long end time get time rs pstmt execute query count rs next count num events security audit event event new security audit event event set msg id rs get long event set username rs get string event set event stamp new date rs get long event set summary rs get string event set node rs get string event set details rs get string events add event count catch sql exception e log error e finally db connection manager close connection rs pstmt con return events the default provider retrieves events security audit log table database security audit event get event integer msg id throws event not found exception connection con null prepared statement pstmt null result set rs null security audit event event null try con db connection manager get connection pstmt con prepare statement get
6	Audit (6).java	audit	package org mifos framework components audit business service audit business service extends business service override business object get business object user context user context return null list audit log view get audit log records short entity type integer entity id throws service exception try audit persistence audit persistence new audit persistence list audit log audit log records audit persistence get audit log records entity type entity id list audit log view audit log view list new array list audit log view audit log audit log audit log records audit log record audit log record audit log get audit log records audit log view audit log view new audit log view audit log view set date audit log get updated date string audit log view set user audit log get modifier name audit log view set field audit log record get field name audit log record get field name equals audit constants audit password audit log view set old value audit constants hidden password audit log view set new value audit constants hidden password else audit log view set old value audit log record get old value audit log view set new value audit log record get new value audit log view list add audit log view return audit log view list catch persistence exception e throw new service exception e package org mifos framework hibernate helper session holder session session transaction transaction null audit interceptor interceptor null session holder session session session session session null throw new null pointer exception session required interceptor new audit interceptor transaction start transaction transaction null transaction session begin transaction return transaction set tranasction transaction transaction transaction transaction transaction get transaction return transaction session get session return session set interceptor audit interceptor audit interceptor interceptor audit interceptor audit interceptor get interceptor return interceptor close package org mifos framework components audit business audit log extends persistent object integer id integer entity id short entity type string modifier name set audit log record audit log records protected audit log id null entity id null entity type null modifier name null audit log records null audit log integer entity id short entity type string modifier name date updated date short updated by id null entity id entity id entity type entity type modifier name modifier name updated date updated date updated by updated by audit log records new hash set audit log record set audit log record get audit log records return audit log records integer get entity id return entity id integer get id return id string get modifier name return modifier name short get entity type return entity type entity type get entity type as enum return entity type int entity type add audit log records set audit log record audit log records audit log records add all audit log records save new audit persistence save package org mifos framework components audit persistence audit persistence extends persistence save audit log audit log session session null transaction txn null try session hibernate util open session txn session begin transaction session save audit log txn commit catch exception e txn
7	Audit (7).java	audit	package de x technology auditing auditing type implements serializable next ordinal transient map constant map new hash map string name ordinal next ordinal auditing type string name name name constant map get name null throw new illegal argument exception get class get name name name already exists constant map put name string string return name boolean equals object instanceof auditing type auditing type new name auditing type return new name ordinal ordinal return false fixes reference de serialization object read resolve object constant map get name null return return hash code return ordinal auditing type get by id string id id null throw new null pointer exception id return auditing type constant map get id add new constants at end of list auditing type fatal new auditing type fatal auditing type error new auditing type error auditing type warning new auditing type warning auditing type info new auditing type info auditing type trace new auditing type trace auditing type default trace package de x technology auditing store auditing store store auditing message message store sync auditing message message flush shutdown package de x technology auditing auditing category implements serializable next ordinal transient map constant map new hash map string name ordinal next ordinal auditing category string name name name constant map get name null throw new illegal argument exception get class get name name name already exists constant map put name string string return name boolean equals object instanceof auditing category auditing category new name auditing category return new name ordinal ordinal return false fixes reference de serialization object read resolve object constant map get name null return return hash code return ordinal auditing category get by id string id id null throw new null pointer exception id return auditing category constant map get id add new constants at end of list auditing category system new auditing category system auditing category security new auditing category security auditing category object new auditing category object auditing category default system package de x technology auditing store auditing store holder auditing store holder instance new auditing store holder auditing store holder get instance return instance auditing store holder object instance to hold null auditing store get instance to hold null throw new illegal state exception holder unconfigured state return auditing store instance to hold register auditing store instance to hold instance to hold null throw new null pointer exception instance to hold instance to hold null throw new illegal state exception already defined auditing store instance to hold get class get name instance to hold instance to hold unregister instance to hold null shutdown instance to hold instance to hold null shutdown object instance to hold boolean configured return instance to hold null package de x technology auditing store abstract auditing store implements auditing store store sync auditing message message store message flush transient de x technology logging log facility log null de x technology logging log facility log log null log de x technology logging log factory get facility abstract auditing store return log package de x technology auditing auditing message implements serializable auditing category
8	Audit (8).java	audit	package com oncecorp visa bridge auditing p title once mpi data bridge p p description this m bean updating auditing config p p company once corporation p auditing implements auditing m bean logger log j data bridge loger get logger auditing the default constructor auditing this method returns auditing server xml string obtain auditing server xml return auditing manager get instance get bean xml this method sets auditing server xml put auditing server xml string xml auditing service bean update bean beans helper auditing service from xml null xml update bean null auditing manager get instance update update bean listening manager get instance reset auditing listeners update bean get listeners configuration manager get instance auto save configuration manager get instance save this method add new auditing logger object auditing service add auditing logger string xml auditing listener bean bean beans helper auditing listener from xml null xml bean null log j debug bean null add auditing logger bean else log j debug bean null add auditing logger auditing listener bean bean auditing manager get instance add auditing logger bean log j debug logger added bean get id the following added gang wu bean auditing listener bean it called auditing manager add listening manager get instance add auditing listener bean add finish configuration manager get instance auto save configuration manager get instance save this method removes auditing logger auditing server remove auditing logger string logger id auditing manager get instance contains logger logger id log j debug logger removed logger id the following added gang wu bean auditing listener bean it called auditing manager remove listening manager get instance unregister listener listening utils auditing listener logger id add finish this method called listening manager unregister listener auditing manager get instance remove auditing logger logger id configuration manager get instance auto save configuration manager get instance save this method updates existed logger update auditing logger string xml auditing listener bean bean beans helper auditing listener from xml null xml bean null log j debug bean null update auditing logger bean else log j debug bean null update auditing logger auditing listener bean bean auditing manager get instance contains logger bean get id log j error the auditing logger exsit return log j debug update logger bean get id auditing manager get instance update auditing logger bean log j debug logger updated bean get id the following added gang wu bean auditing listener bean it called auditing manager update listening manager get instance update auditing listener bean add finish configuration manager get instance auto save configuration manager get instance save this method returns particluar logger mail subject text string obtain subject text string logger id return auditing manager get instance get logger logger id get subject this method sets particular logger subject text put subject text string logger id string text auditing logger logger auditing manager get instance get logger logger id logger null logger get subject equals text auditing manager get instance get logger logger id set subject text logger save mail template this method returns particular logger mail body template text string obtain
9	Audit (9).java	audit	auditer query insert message string audit insert query insert pki va audit audit date audit channel audit message values maximum size audit channel field max audit channel size maximum size messages audited max audit message size ddl table required store messages string ddl create table pki va audit audit date date default sysdate audit channel varchar max audit channel size audit message varchar max audit message size datasource name use string ds name java epsilon ds nuevas ago pki va audit request tablename string pki va audit request tablename pki va audit request pki va audit response tablename string pki va audit response tablename pki va audit response pki va audit entries tablename string pki va audit entries tablename pki va audit entries query for getting next value from sequence string sequence next value query select sq pki va audit entries nextval dual max size varchar fields varchar max size buff size auditer name often name wich uses protected string name datasource get connections protected data source ds constructs auditer given name param name created auditer auditer string throws auditing exception context ctx null try length max audit channel size name substring length max audit channel size length else name ctx new initial context ds data source ctx lookup ds name catch naming exception ne log manager get logger get class error cannot resolve datasource name ne throw new auditing exception cannot resolve datasource name ne finally try ctx null ctx close catch naming exception ne audits message param event message audit param e exception store well audit string event exception e throws auditing exception audit new java util date event e audits message param event message audit audit string event throws auditing exception audit new java util date event audits message param date event audited param event message audit param e exception store well audit java util date string event exception e throws auditing exception string message event length max audit message size message event substring max audit message size e get message length e get message else message event audit message audits message param date event audited param event message audit audit java util date string event throws auditing exception event length max audit message size event event substring max audit message size ds null log manager get logger get class info audit event return connection conn null prepared statement p stmt null try conn ds get connection p stmt conn prepare statement audit insert query p stmt set timestamp new timestamp get time p stmt set string name p stmt set string event p stmt execute update catch sql exception sqle log manager get logger get class error exception inserting audit value audit insert query sqle throw new auditing exception exception inserting audit value sqle finally try p stmt null p stmt close conn null conn close catch sql exception sqle new way auditing audits audit operation param oper audit operation audited audit audit operation oper throws auditing exception audit oper new java util date new way auditing audits audit operation param oper audit operation audited param date operation
