	file	label	text
0	Audit (10).java	audit	namespace cc net config components wizards summary provides easy way configure auditing summary partial security xml auditing wizard page wizard page region constructors summary initialises new instance see cref security auditing wizard page summary security xml auditing wizard page summary initialiases new instance see cref security auditing wizard page links previous page summary param name previous page param security xml auditing wizard page wizard page previous page endregion region private methods region auditing allowing checked changed summary sets state rest settings summary param name sender param param name e param auditing allowing checked changed object sender event args e endregion endregion namespace cc net config ui wizards partial xml auditing configuration summary required designer variable summary system component model i container components null summary clean resources used summary param name disposing true managed resources disposed otherwise false param protected dispose bool disposing region component designer generated code summary required method designer support modify contents method code editor summary initialize component endregion system windows forms group box xml settings system windows forms check box audit failed system windows forms check box audit successful system windows forms check box use xml auditing namespace cc net config ui wizards summary custom configuration settings xml auditing summary partial xml auditing configuration user control region constructors summary initialise new instance see cref xml auditing configuration summary xml auditing configuration endregion region public methods region generate config summary generates configuration summary returns the new configuration returns virtual file xml logger generate config endregion region generate description summary generates configuration summary returns the new configuration returns virtual generate description endregion endregion region private methods region use xml auditing checked changed summary change enabled status settings summary param name sender param param name e param use xml auditing checked changed object sender event args e endregion endregion namespace cc net config components wizards partial security xml auditing wizard page summary required designer variable summary system component model i container components null summary clean resources used summary param name disposing true managed resources disposed otherwise false param protected dispose bool disposing region component designer generated code summary required method designer support modify contents method code editor summary initialize component endregion system windows forms check box auditing allowing system windows forms group box audit properties system windows forms label label system windows forms check box default reader system windows forms check box log failure system windows forms check box log success system windows forms button log location button system windows forms text box log location on check changed object sender event args e endregion endregion
1	Audit (11).java	audit	oa form auditing extends oa form edit domain audit util audit action get last audit auditable auditable audit post advisor extends common advisor boolean supports object target protected post remove object obj
2	Audit (2).java	audit	set audit trail format database info database query format format database valid database get audit trail format database info database database valid database else clear audit trail format database info database database audit trail format null char new audit trail entries null send audit mail pr pr pr old pr char edit user email addr format named parameter parms null database info database pr database parms allocate named parameter edit user email addr edit user email addr parms allocate named parameter new audit trail new audit trail entries strcmp field value pr responsible database allocate named parameter old responsible compose mail message pr old pr audit mail parms null err free format parameter list parms add entry audit trail field params format add audit trail ent pr pr query format fmt char new audit string null char audit string char char curr date get curr date fmt null format new audit entry process format null new audit string pr null fmt n params squirrel away need mail later append new audit trail entries new audit string now append formatted audit trail field field value pr audit trail pr database null audit string xstrdup append audit string new audit string set field pr audit trail pr database audit string err free audit string free new audit string field invalid field index new audit trail entries null res add audit trail res audit trail format null char new audit char copy ptr len len len closed date set changed separator p field value pr audit trail pr database p null strlen p new audit xmalloc strlen p new audit strcat new audit copy ptr set field pr audit trail pr database new audit err free new audit foreach require audit email reason proc get audittrail state field info exists tk gnats server require audit trail entry foreach var parm require audit require audit trail entry require reason require audit trail reason require email req proc check audit trail opts dputs reason audit trail requirement field unknown asking return get audittrail state field
3	Audit (3).java	audit	add audit trail table row data connection conn throws sql exception table row exception collection load audit trail history oid oid connection conn throws exception audit trail info ublic audit trail info implements serializable audit trail fields linked list audit trail fields new linked list iterator get audit trail fields set has audited class boolean value shell audit shell audit collection load audit trail history base dba dba get audit trail history code persist code object output constructor for fields md get audit trail fields pwriter tm add audit trail table row shell connection conn servlet reply get audit trail history http servlet request request http servlet response response output audit trail statements meta data md print writer pwriter output audit trail statements meta data md print writer pwriter output methods for audit trail fields string pobject name string pobject class name collection load audit trail history base dba dba collection load audit trail history base dba dba oid oid output methods for audit trail fields meta data md print writer pwriter collection get audit trail history oid oid throws persist exception
4	Audit (4).java	audit	iterator event audits activity process the following names may used time stamp username event type activity key activity name process key process name process mgr name process mgr version package id process definition id process definition name activity definition id activity definition name activity definition type applied event types p here list attributes specified applied specific event type p wf create process event audit p activity key p process key p process name p process mgr name p process mgr version p package id p process definition id p process definition name p activity definition id p activity definition name p wf data event audit old data var id new data var id var id id variable appropriate process activity p wf state event audit old state new state p wf assignment event audit old res new res accepted wf event audit iterator wrapper extends base iterator wrapper implements this internally used get shark managers shark engine manager implements shark interface
5	Audit (5).java	audit	package org jivesoftware openfire security the default security audit provider stores logs security audit log table default security audit provider implements security audit provider string log entry string get events string get event string get event count constructs new default security audit provider default security audit provider the default provider logs events security audit log table database log event string username string summary string details connection con null prepared statement pstmt null try catch sql exception e finally the default provider retrieves events security audit log table database list security audit event get events string username integer skip events integer num events date start time date end time list security audit event events new array list security audit event connection con null prepared statement pstmt null result set rs null string sql get events boolean added one false username null start time null end time null sql order by entry stamp desc try catch sql exception e finally return events the default provider retrieves events security audit log table database security audit event get event integer msg id throws event not found exception connection con null prepared statement pstmt null result set rs null security audit event event null try catch exception e finally return event the default provider counts number entries security audit log table integer get event count connection con null prepared statement pstmt null result set rs null integer cnt try catch exception e finally return cnt the default provider writes logs local openfire database boolean write only return false the default provider uses openfire audit log viewer string get audit url return null the default provider logs user events boolean block user events return false the default provider logs group events boolean block group events return false package org jivesoftware openfire security the security audit manager manages security audit provider configured server provides proper conduit making security log entries looking ideally reason outside interact directly provider the provider specified system properties adding ul li tt provider security audit name security audit provider tt li ul security audit manager wrap guy mock security audit manager security audit manager container security audit manager instance new security audit manager returns currently installed security audit provider b warning b virtually cases security audit provider used directly instead appropriate methods security audit manager called direct access security audit provider provided special case logic security audit provider get security audit provider return security audit manager container instance provider returns singleton instance security audit manager security audit manager get instance return security audit manager container instance security audit provider provider constructs security audit manager setting provider listener security audit manager load security audit provider init provider detect new security audit provider set property event listener prop listener new property event listener property event dispatcher add listener prop listener initializes server security audit provider based configuration defaults default security audit provider specified provider valid specified init provider convert xml based provider setup database based jive globals migrate property provider security audit name string name jive globals get property provider security audit name check need reset provider
6	Audit (6).java	audit	package org mifos framework components audit business service audit business service extends business service override business object get business object user context user context list audit log view get audit log records short entity type package org mifos framework hibernate helper session holder session session transaction transaction null audit interceptor interceptor null session holder session session transaction start transaction set tranasction transaction transaction transaction get transaction session get session set interceptor audit interceptor audit interceptor audit interceptor get interceptor close package org mifos framework components audit business audit log extends persistent object integer id integer entity id short entity type string modifier name set audit log record audit log records protected audit log audit log integer entity id short entity type string modifier name set audit log record get audit log records integer get entity id integer get id string get modifier name short get entity type entity type get entity type as enum add audit log records set audit log record audit log records save package org mifos framework components audit persistence audit persistence extends persistence save audit log audit log list audit log get audit log records short entity type integer entity id package org mifos framework components audit business audit log record extends persistent object integer squence no string field name string old value string new value suppress warnings unused see hbm xml file audit log audit log protected audit log record audit log record string field name string old value string new value string get field name string get new value string get old value integer get squence no package org mifos framework components audit util helpers for hibernate extend empty interceptor but exist beta audit interceptor implements interceptor audit log audit log intercept helper intercept helper user context user context boolean flag false audit interceptor create initial value map object object create change value map object object boolean audit log required transaction completion transaction tx boolean save object arg serializable arg object arg delete object arg serializable arg object arg pre flush iterator arg post flush iterator arg boolean transient object arg find dirty object entity serializable id object instantiate string entity name entity mode entity mode string get entity name object arg object get entity string arg serializable arg boolean load object arg serializable arg object arg transaction begin transaction tx boolean flush dirty object entity serializable id transaction completion transaction tx set audit log record create audit log record boolean compare set string initial string string change string string remove comma string
7	Audit (7).java	audit	package de x technology auditing auditing type implements serializable next ordinal transient map constant map new hash map string name ordinal next ordinal auditing type string name name name constant map get name null throw new illegal argument exception get class get name name name already exists constant map put name string string return name boolean equals object instanceof auditing type auditing type new name auditing type return new name ordinal ordinal return false fixes reference de serialization object read resolve object constant map get name null return return hash code return ordinal auditing type get by id string id id null throw new null pointer exception id return auditing type constant map get id add new constants at end of list auditing type fatal new auditing type fatal auditing type error new auditing type error auditing type warning new auditing type warning auditing type info new auditing type info auditing type trace new auditing type trace auditing type default trace package de x technology auditing store auditing store store auditing message message store sync auditing message message flush shutdown package de x technology auditing auditing category implements serializable next ordinal transient map constant map new hash map string name ordinal next ordinal auditing category string name name name constant map get name null throw new illegal argument exception get class get name name name already exists constant map put name string string return name boolean equals object instanceof auditing category auditing category new name auditing category return new name ordinal ordinal return false fixes reference de serialization object read resolve object constant map get name null return return hash code return ordinal auditing category get by id string id id null throw new null pointer exception id return auditing category constant map get id add new constants at end of list auditing category system new auditing category system auditing category security new auditing category security auditing category object new auditing category object auditing category default system package de x technology auditing store auditing store holder auditing store holder instance new auditing store holder auditing store holder get instance return instance auditing store holder object instance to hold null auditing store get instance to hold null throw new illegal state exception holder unconfigured state return auditing store instance to hold register auditing store instance to hold instance to hold null throw new null pointer exception instance to hold instance to hold null throw new illegal state exception already defined auditing store instance to hold instance to hold unregister instance to hold null shutdown instance to hold instance to hold null shutdown object instance to hold boolean configured return instance to hold null package de x technology auditing store abstract auditing store implements auditing store store sync auditing message message store message flush transient de x technology logging log facility log null de x technology logging log facility log log null log de x technology logging log factory get facility abstract auditing store return log package de x technology auditing auditing message implements serializable auditing category category auditing type type string message string
8	Audit (8).java	audit	package com oncecorp visa bridge auditing p title once mpi data bridge p p description this m bean updating auditing config p p company once corporation p auditing implements auditing m bean logger log j data bridge loger get logger auditing auditing string obtain auditing server xml put auditing server xml string xml add auditing logger string xml add auditing logger auditing listener bean bean remove auditing logger string logger id update auditing logger string xml update auditing logger auditing listener bean bean string obtain subject text string logger id put subject text string logger id string text string obtain body template text string logger id put body template text string logger id string text obtain current number string merchant id put mail inet string smtp name put sampling time sampling time start string logger id string reason stop string logger id string reason string obtain status string logger id init current number string jndi string schema remove data source string jndi string obtain start stop reason string logger id obtain start stop time string logger id package com oncecorp visa bridge configure p title auditing config p p description implement configurable configure auditing service p auditing config implements configurable package com oncecorp visa bridge listening p title auditing message receiver p p description inherit listening thread call auditing handler p auditing message receiver extends listening thread package com oncecorp visa bridge auditing title once mpi data bridge description this exception handle exception occurs auditing service it ecapsulate exception originally happen auditing exception extends data bridge runtime exception auditing exception auditing exception string auditing exception throwable throwable auditing exception string throwable throwable package com oncecorp visa bridge monitoring p title once mpi data bridge p p description this m bean dynamically configuring auditing service p auditing m bean string obtain auditing server xml put auditing server xml string xml add auditing logger string xml remove auditing logger string logger id update auditing logger string xml string obtain subject text string logger id put subject text string logger id string text string obtain body template text string logger id put body template text string logger id string text obtain current number string merchant id put mail inet string smtp name put sampling time sampling time start string logger id string reason stop string logger id string reason string obtain status string logger id init current number string jndi string schema remove data source string jndi string obtain start stop reason string logger id obtain start stop time string logger id listening manager boolean start listener string listener string channel string get start stop reason string listener string channel get start stop time string listener string channel boolean stop listener string listener string channel package com oncecorp visa bridge beans p title data bridge bean p p description hold data bridge related configuration data p data bridge bean implements serializable configure constants package com oncecorp visa bridge auditing p title once mpi data bridge p p description this m bean used populating statistics counter result the counter flush also m bean p auditing performance
9	Audit (9).java	audit	auditer query insert message string audit insert query insert pki va audit audit date audit channel audit message values maximum size audit channel field max audit channel size maximum size messages audited max audit message size ddl table required store messages string ddl create table pki va audit audit date date default sysdate audit channel varchar max audit channel size audit message varchar max audit message size datasource name use string ds name java epsilon ds nuevas ago pki va audit request tablename string pki va audit request tablename pki va audit request pki va audit response tablename string pki va audit response tablename pki va audit response pki va audit entries tablename string pki va audit entries tablename pki va audit entries query for getting next value from sequence string sequence next value query select sq pki va audit entries nextval dual max size varchar fields varchar max size buff size auditer name often name wich uses protected string name datasource get connections protected data source ds constructs auditer given name param name created auditer auditer string throws auditing exception context ctx null try catch naming exception ne finally audits message param event message audit param e exception store well audit string event exception e throws auditing exception audit new java util date event e audits message param event message audit audit string event throws auditing exception audit new java util date event audits message param date event audited param event message audit param e exception store well audit java util date string event exception e throws auditing exception string message event length max audit message size else audit message audits message param date event audited param event message audit audit java util date string event throws auditing exception event length max audit message size ds null connection conn null prepared statement p stmt null try catch sql exception sqle finally new way auditing audits audit operation param oper audit operation audited audit audit operation oper throws auditing exception audit oper new java util date new way auditing audits audit operation param oper audit operation audited param date operation date audit audit operation oper java util date throws auditing exception sequence audit incomplete oper audit response oper sequence audits audit operation filling request fields param oper audit operation audited audit incomplete audit operation oper throws auditing exception return audit incomplete oper new java util date audits audit operation filling request fields param oper audit operation audited param date operation date audit incomplete audit operation oper java util date throws auditing exception timestamp date new timestamp get time oper id oper get operation sequence get sequence sequence insert entry sequence oper id date insert request sequence oper return sequence audits previous incomplete audited audit operation filling response fields param oper audit operation audited param entry id entry id got previous incomplete audit audit response audit operation oper entry id throws auditing exception insert response entry id oper invalid seq protected get sequence throws auditing exception next invalid seq connection conn null statement stm null result set rs null try catch sql exception
