	file	label	text
0	common\src\java\org\apache\hadoop\HadoopIllegalArgumentException.java	unrelated	package org apache hadoop indicates method passed illegal invalid argument this exception thrown instead illegal argument exception differentiate exception thrown hadoop implementation one thrown jdk hadoop illegal argument exception extends illegal argument exception serial version uid l constructs exception specified detail message hadoop illegal argument exception string message super message
1	common\src\java\org\apache\hadoop\HadoopVersionAnnotation.java	unrelated	package org apache hadoop a package attribute captures version hadoop compiled hadoop version annotation get hadoop version string version get username compiled hadoop string user get date hadoop compiled string date get url subversion repository string url get subversion revision string revision get branch compiled string branch get checksum source files hadoop compiled string src checksum
2	common\src\java\org\apache\hadoop\classification\InterfaceAudience.java	unrelated	package org apache hadoop classification annotation inform users package method intended audience interface audience intended use project application intended project specified annotation for example common hdfs map reduce zoo keeper h base string value intended use within hadoop interface audience audience exist
3	common\src\java\org\apache\hadoop\classification\InterfaceStability.java	unrelated	package org apache hadoop classification annotation inform users much rely particular package method changing time interface stability can evolve retaining compatibility minor release boundaries break compatibility major release ie stable evolving break compatibility minor release e x evolving no guarantee provided reliability stability across level release granularity unstable
4	common\src\java\org\apache\hadoop\classification\tools\ExcludePrivateAnnotationsJDiffDoclet.java	unrelated	package org apache hadoop classification tools a href http java sun com javase docs jdk api javadoc doclet doclet excluding elements annotated link org apache hadoop classification interface audience private link org apache hadoop classification interface audience limited private it delegates j diff doclet takes options exclude private annotations j diff doclet language version language version return language version java boolean start root doc root system println exclude private annotations j diff doclet get simple name return j diff start root doc processor process root option length string option integer length stability options option length option length null return length return j diff option length option boolean valid options string options doc error reporter reporter stability options valid options options reporter string filtered options stability options filter options options return j diff valid options filtered options reporter
5	common\src\java\org\apache\hadoop\classification\tools\ExcludePrivateAnnotationsStandardDoclet.java	unrelated	package org apache hadoop classification tools a href http java sun com javase docs jdk api javadoc doclet doclet excluding elements annotated link org apache hadoop classification interface audience private link org apache hadoop classification interface audience limited private it delegates standard doclet takes options exclude private annotations standard doclet language version language version return language version java boolean start root doc root system println exclude private annotations standard doclet get simple name return standard start root doc processor process root option length string option integer length stability options option length option length null return length return standard option length option boolean valid options string options doc error reporter reporter stability options valid options options reporter string filtered options stability options filter options options return standard valid options filtered options reporter
6	common\src\java\org\apache\hadoop\classification\tools\package-info.java	unrelated	package org apache hadoop classification tools
7	common\src\java\org\apache\hadoop\classification\tools\RootDocProcessor.java	unrelated	package org apache hadoop classification tools process link root doc substituting nested proxy objects exclude elements private limited private annotations p based code http www sixlegs com blog java exclude javadoc tag html root doc processor string stability stability options unstable option root doc process root doc root return root doc process root root doc object process object obj class type obj null return null class cls obj get class cls get name starts with com sun return get proxy obj else obj instanceof object class component type type array type get component type cls get component type object array object obj object new array object array new instance component type array length array length new array process array component type return new array return obj map object object proxies new weak hash map object object object get proxy object obj object proxy proxies get obj proxy null proxy proxy new proxy instance obj get class get class loader obj get class get interfaces new exclude handler obj proxies put obj proxy return proxy exclude handler implements invocation handler object target exclude handler object target target target object invoke object proxy method method object args throws throwable string method name method get name target instanceof doc method name equals included doc doc doc target return exclude doc doc included target instanceof root doc method name equals return filter root doc target class doc else method name equals specified classes return filter root doc target specified classes class doc else method name equals specified packages return filter root doc target specified packages package doc else target instanceof class doc filtered args method name equals methods return filter class doc target methods true method doc else method name equals fields return filter class doc target fields true field doc else method name equals inner classes return filter class doc target inner classes true class doc else method name equals constructors return filter class doc target constructors true constructor doc else target instanceof package doc method name equals classes filtered args return filter package doc target classes true class doc else return filter package doc target classes class doc else method name equals annotation types return filter package doc target annotation types annotation type doc else method name equals enums return filter package doc target enums class doc else method name equals errors return filter package doc target errors class doc else method name equals exceptions return filter package doc target exceptions class doc else method name equals interfaces return filter package doc target interfaces class doc else method name equals ordinary classes return filter package doc target ordinary classes class doc args null method name equals compare to method name equals equals method name equals overrides method name equals subclass of args unwrap args try return process method invoke target args method get return type catch invocation target exception e throw e get target exception boolean exclude doc doc annotation desc annotations null doc instanceof program element doc annotations program element doc doc annotations else doc instanceof package doc annotations package doc doc annotations
8	common\src\java\org\apache\hadoop\classification\tools\StabilityOptions.java	unrelated	package org apache hadoop classification tools stability options string stable option stable string evolving option evolving string unstable option unstable integer option length string option string opt option lower case opt equals unstable option return opt equals evolving option return opt equals stable option return return null valid options string options doc error reporter reporter options length string opt options lower case opt equals unstable option root doc processor stability unstable option else opt equals evolving option root doc processor stability evolving option else opt equals stable option root doc processor stability stable option string filter options string options list string options list new array list string options length options equals ignore case unstable option options equals ignore case evolving option options equals ignore case stable option options list add options string filtered options new string options list size string option options list filtered options option return filtered options
9	common\src\java\org\apache\hadoop\conf\Configurable.java	unrelated	package org apache hadoop conf something may configured link configuration configurable set configuration used object set conf configuration conf return configuration used object configuration get conf
10	common\src\java\org\apache\hadoop\conf\Configuration.java	unrelated	package org apache hadoop conf provides access configuration parameters id resources resources p configurations specified resources a resource contains set name value pairs xml data each resource named either code string code link path if named code string code classpath examined file name if named code path code local filesystem examined directly without referring classpath p unless explicitly turned hadoop default specifies two resources loaded order classpath ol li tt href doc root core default html core default xml tt read defaults hadoop li li tt core site xml tt site specific configuration given hadoop installation li ol applications may add additional resources loaded subsequent resources order added id final params final parameters p configuration parameters may declared once resource declares value subsequently loaded resource alter value for example one might define parameter tt pre lt property gt lt name gt dfs client buffer dir lt name gt lt value gt tmp hadoop dfs client lt value gt b lt gt true lt gt b lt property gt pre tt administrators typically define parameters tt core site xml tt values user applications may alter id variable expansion variable expansion p value strings first processed variable expansion the available properties ol li other properties defined configuration name undefined li li properties link system get properties li ol p for example configuration resource contains following property definitions tt pre lt property gt lt name gt basedir lt name gt lt value gt user user name lt value gt lt property gt lt property gt lt name gt tempdir lt name gt lt value gt basedir tmp lt value gt lt property gt pre tt when tt conf get tempdir tt called tt basedir tt resolved another property configuration tt user name tt would ordinarily resolved value system property name configuration implements iterable map entry string string writable log log log factory get log configuration boolean quietmode true list configuration resources array list object resources new array list object the value reported setting resource key set code rather file resource string unknown resource unknown list configuration parameters marked b b set string parameters new hash set string boolean load defaults true configuration objects weak hash map configuration object registry new weak hash map configuration object list default resources resources loaded order list entries copy on write array list string default resources new copy on write array list string map class loader map string class cache classes new weak hash map class loader map string class stores mapping key resource modifies loads key recently hash map string string updating resource class keep information keys replace deprecated ones this stores new keys replace deprecated keys also gives provision custom message deprecated key replaced it also provides method get appropriate warning message logged whenever deprecated key used deprecated key info string new keys string custom message boolean accessed deprecated key info string new keys string custom message new keys new keys custom message custom message accessed false method provide warning message it gives custom message non null default message otherwise string get warning message string key string warning
11	common\src\java\org\apache\hadoop\conf\Configured.java	unrelated	package org apache hadoop conf base things may configured link configuration configured implements configurable configuration conf construct configured configured null construct configured configured configuration conf set conf conf inherit javadoc set conf configuration conf conf conf inherit javadoc configuration get conf return conf
12	common\src\java\org\apache\hadoop\conf\ConfServlet.java	unrelated	package org apache hadoop conf a servlet print running configuration data conf servlet extends http servlet serial version uid l string format json json string format xml xml string format param format return configuration daemon hosting servlet this populated http server starts configuration get conf from context configuration conf configuration get servlet context get attribute http server conf context attribute assert conf null return conf get http servlet request request http servlet response response throws servlet exception io exception do authorization http server administrator access get servlet context request response return string format request get parameter format param null format format format xml format xml equals format response set content type text xml charset utf else format json equals format response set content type application json charset utf writer response get writer try write response get conf from context format catch bad format exception bfe response send error http servlet response sc bad request bfe get message close guts servlet extracted easy testing write response configuration conf writer string format throws io exception bad format exception format json equals format configuration dump configuration conf else format xml equals format conf write xml else throw new bad format exception bad format format bad format exception extends exception serial version uid l bad format exception string msg super msg
13	common\src\java\org\apache\hadoop\conf\Reconfigurable.java	unrelated	package org apache hadoop conf something whose link configuration changed run time reconfigurable extends configurable change configuration property object value specified change configuration property object value specified return previous value configuration property set null previously set if new val null set property default value if property cannot changed throw link reconfiguration exception string reconfigure property string property string new val throws reconfiguration exception return whether given property changeable run time if property reconfigurable returns true property change conf throw exception changing property boolean property reconfigurable string property return properties changed run time collection string get reconfigurable properties
14	common\src\java\org\apache\hadoop\conf\ReconfigurableBase.java	unrelated	package org apache hadoop conf utility base implementing reconfigurable subclasses reconfigure property impl change individual properties get reconfigurable properties get properties changed run time reconfigurable base extends configured implements reconfigurable log log log factory get log reconfigurable base construct reconfigurable base reconfigurable base super new configuration construct reconfigurable base link configuration conf reconfigurable base configuration conf super conf null new configuration conf inherit doc this method makes change objects link configuration calls reconfigure property impl update internal data structures this method cannot overridden subclasses instead reconfigure property string reconfigure property string property string new val throws reconfiguration exception property reconfigurable property log info changing property property new val string old val synchronized get conf old val get conf get property reconfigure property impl property new val new val null get conf set property new val else get conf unset property return old val else throw new reconfiguration exception property new val get conf get property inherit doc subclasses must collection string get reconfigurable properties inherit doc subclasses may wish efficient implementation boolean property reconfigurable string property return get reconfigurable properties contains property change configuration property subclasses must this method applies change internal data structures derived configuration property changed if object owns reconfigurable objects reconfigure property called recursively make sure make sure configuration objects updated protected reconfigure property impl string property string new val throws reconfiguration exception
15	common\src\java\org\apache\hadoop\conf\ReconfigurationException.java	unrelated	package org apache hadoop conf exception indicating configuration property cannot changed run time reconfiguration exception extends exception serial version uid l string property string new val string old val construct exception message string construct message string property string new val string old val string message could change property property old val null message old val new val null message new val return message create new instance link reconfiguration exception reconfiguration exception super could change configuration property null new val null old val null create new instance link reconfiguration exception reconfiguration exception string property string new val string old val throwable cause super construct message property new val old val cause property property new val new val old val old val create new instance link reconfiguration exception reconfiguration exception string property string new val string old val super construct message property new val old val property property new val new val old val old val get property cannot changed string get property return property get value property supposed changed string get new value return new val get old value property cannot changed string get old value return old val
16	common\src\java\org\apache\hadoop\conf\ReconfigurationServlet.java	unrelated	package org apache hadoop conf a servlet changing node configuration reloads configuration file verifies whether changes possible asks admin approve change reconfiguration servlet extends http servlet serial version uid l log log log factory get log reconfiguration servlet prefix used fing attribute holding reconfigurable given request get attribute prefix servlet path string conf servlet reconfigurable prefix conf servlet reconfigurable inherit doc init throws servlet exception super init reconfigurable get reconfigurable http servlet request req log info servlet path req get servlet path log info getting attribute conf servlet reconfigurable prefix req get servlet path return reconfigurable get servlet context get attribute conf servlet reconfigurable prefix req get servlet path print header print writer string node name print html head printf title reconfiguration utility title n string escape utils escape html node name print head body n printf reconfiguration utility n string escape utils escape html node name print footer print writer print body html n print configuration options changed print conf print writer reconfigurable reconf configuration old conf reconf get conf configuration new conf new configuration collection reconfiguration util property change changes reconfiguration util get changed properties new conf old conf boolean change ok true println form action method post println table border println tr th property th th old value th println th new value th th th tr reconfiguration util property change c changes print tr td reconf property reconfigurable c prop print font color red string escape utils escape html c prop font change ok false else print string escape utils escape html c prop print input type hidden name string escape utils escape html c prop value string escape utils escape html c new val print td td c old val null default string escape utils escape html c old val td td c new val null default string escape utils escape html c new val td print tr n println table change ok println p font color red warning properties marked red changed next restart font p println input type submit value apply println form enumeration string get params http servlet request req return enumeration string req get parameter names apply configuratio changes admin approved apply changes print writer reconfigurable reconf http servlet request req throws io exception reconfiguration exception configuration old conf reconf get conf configuration new conf new configuration enumeration string params get params req synchronized old conf params more elements string raw param params next element string param string escape utils unescape html raw param string value string escape utils unescape html req get parameter raw param value null value equals new conf get raw param value equals default value equals null value equals value equals default value equals null value equals old conf get raw param null println p changed string escape utils escape html param string escape utils escape html old conf get raw param default p reconf reconfigure property param null else value equals default value equals null value equals old conf get raw param null old conf get raw param equals value change default value different value old conf get
17	common\src\java\org\apache\hadoop\conf\ReconfigurationUtil.java	unrelated	package org apache hadoop conf reconfiguration util property change string prop string old val string new val property change string prop string new val string old val prop prop new val new val old val old val collection property change get changed properties configuration new conf configuration old conf map string property change changes new hash map string property change iterate old configuration map entry string string old entry old conf string prop old entry get key string old val old entry get value string new val new conf get raw prop new val null new val equals old val changes put prop new property change prop new val old val iterate new configuration look properties present old conf map entry string string new entry new conf string prop new entry get key string new val new entry get value old conf get prop null changes put prop new property change prop new val null return changes values
18	common\src\java\org\apache\hadoop\fs\AbstractFileSystem.java	unrelated	package org apache hadoop fs this provides implementors hadoop file system analogous vfs unix applications access instead access files across file systems using link file context pathnames passed abstract file system fully qualified uri matches file system ie scheme authority slash relative name assumed relative root file system abstract file system log log log factory get log abstract file system recording statistics per file system map uri statistics statistics table new hash map uri statistics cache constructors file system map class constructor constructor cache new concurrent hash map class constructor class uri config args new class uri configuration the statistics file system protected statistics statistics uri uri statistics get statistics return statistics prohibits names contain boolean valid name string src check string tokenizer tokens new string tokenizer src path separator tokens more tokens string element tokens next token element equals element equals element index of return false return true create object given initialize conf t t new instance class t class uri uri configuration conf t result try constructor t meth constructor t constructor cache get class meth null meth class get declared constructor uri config args meth set accessible true constructor cache put class meth result meth new instance uri conf catch exception e throw new runtime exception e return result create file system instance specified uri using conf the conf used find name implements file system the conf also passed file system configuration found abstract file system create file system uri uri configuration conf throws unsupported file system exception class clazz conf get class fs abstract file system uri get scheme impl null clazz null throw new unsupported file system exception no abstract file system scheme uri get scheme return abstract file system new instance clazz uri conf get statistics particular file system used key lookup statistics table only scheme authority part uri used protected synchronized statistics get statistics uri uri string scheme uri get scheme scheme null throw new illegal argument exception scheme defined uri uri uri base uri get base uri uri statistics result statistics table get base uri result null result new statistics scheme statistics table put base uri result return result uri get base uri uri uri string scheme uri get scheme string authority uri get authority string base uri string scheme authority null base uri string base uri string authority else base uri string base uri string return uri create base uri string synchronized clear statistics statistics stat statistics table values stat reset prints statistics file systems synchronized print statistics map entry uri statistics pair statistics table entry set system println file system pair get key get scheme pair get key get authority pair get value protected synchronized map uri statistics get all statistics map uri statistics stats map new hash map uri statistics statistics table size map entry uri statistics pair statistics table entry set uri key pair get key statistics value pair get value statistics new stats obj new statistics value stats map put uri create key string new stats obj return stats map the main factory method creating file system get file
19	common\src\java\org\apache\hadoop\fs\AvroFSInput.java	unrelated	package org apache hadoop fs adapts link fs data input stream avro seekable input avro fs input implements closeable seekable input fs data input stream stream len construct given link fs data input stream length avro fs input fs data input stream len stream len len construct given link file context link path avro fs input file context fc path p throws io exception file status status fc get file status p len status get len stream fc open p length return len read byte b len throws io exception return stream read b len seek p throws io exception stream seek p tell throws io exception return stream get pos close throws io exception stream close
20	common\src\java\org\apache\hadoop\fs\BlockLocation.java	unrelated	package org apache hadoop fs a block location lists hosts offset length block block location implements writable register ctor writable factories set factory block location new writable factory writable new instance return new block location string hosts hostnames datanodes string names hostname port number datanodes string topology paths full path name network topology offset offset block file length boolean corrupt default constructor block location new string new string l l constructor host name offset length block location string names string hosts offset length names hosts offset length false constructor host name offset length corrupt flag block location string names string hosts offset length boolean corrupt names null names new string else names names hosts null hosts new string else hosts hosts offset offset length length topology paths new string corrupt corrupt constructor host name network topology offset length block location string names string hosts string topology paths offset length names hosts topology paths offset length false constructor host name network topology offset length corrupt flag block location string names string hosts string topology paths offset length boolean corrupt names hosts offset length corrupt topology paths null topology paths new string else topology paths topology paths get list hosts hostname hosting block string get hosts throws io exception hosts null hosts length return new string else return hosts get list names hostname port hosting block string get names throws io exception names null names length return new string else return names get list network topology paths hosts the last component path host string get topology paths throws io exception topology paths null topology paths length return new string else return topology paths get start offset file associated block get offset return offset get length block get length return length get corrupt flag boolean corrupt return corrupt set start offset file associated block set offset offset offset offset set length block set length length length length set corrupt flag set corrupt boolean corrupt corrupt corrupt set hosts hosting block set hosts string hosts throws io exception hosts null hosts new string else hosts hosts set names host port hosting block set names string names throws io exception names null names new string else names names set network topology paths hosts set topology paths string topology paths throws io exception topology paths null topology paths new string else topology paths topology paths implement write writable write data output throws io exception write long offset write long length write boolean corrupt write int names length names length text name new text names name write write int hosts length hosts length text host new text hosts host write write int topology paths length topology paths length text host new text topology paths host write implement read fields writable read fields data input throws io exception offset read long length read long corrupt read boolean num names read int names new string num names num names text name new text name read fields names name string num hosts read int hosts new string num hosts num hosts text host new text host read fields hosts host string num
21	common\src\java\org\apache\hadoop\fs\BufferedFSInputStream.java	unrelated	package org apache hadoop fs a optimizes reading fs input stream bufferring buffered fs input stream extends buffered input stream implements seekable positioned readable creates code buffered fs input stream code specified buffer size saves argument input stream code code later use an internal buffer array length code size code created stored code buf code buffered fs input stream fs input stream size super size get pos throws io exception return fs input stream get pos count pos skip n throws io exception n return seek get pos n return n seek pos throws io exception pos return optimize check pos buffer end fs input stream get pos start end count pos start pos end pos pos start return invalidate buffer pos count fs input stream seek pos boolean seek to new source target pos throws io exception pos count return fs input stream seek to new source target pos read position byte buffer offset length throws io exception return fs input stream read position buffer offset length read fully position byte buffer offset length throws io exception fs input stream read fully position buffer offset length read fully position byte buffer throws io exception fs input stream read fully position buffer
22	common\src\java\org\apache\hadoop\fs\ChecksumException.java	unrelated	package org apache hadoop fs thrown checksum errors checksum exception extends io exception serial version uid l pos checksum exception string description pos super description pos pos get pos return pos
23	common\src\java\org\apache\hadoop\fs\ChecksumFileSystem.java	unrelated	package org apache hadoop fs abstract checksumed file system it provide basice implementation checksumed file system creates checksum file raw file it generates verifies checksums client side checksum file system extends filter file system byte checksum version new byte c r c bytes per checksum boolean verify checksum true get approx chk sum length size return checksum fs output summer chksum as fraction size checksum file system file system fs super fs set conf configuration conf super set conf conf conf null bytes per checksum conf get int local file system config keys local fs bytes per checksum key local file system config keys local fs bytes per checksum default set whether verify checksum set verify checksum boolean verify checksum verify checksum verify checksum get raw file system file system get raw file system return fs return name checksum file associated file path get checksum file path file return new path file get parent file get name crc return true iff file checksum file name boolean checksum file path file string name file get name return name starts with name ends with crc return length checksum file given size actual file get checksum file length path file file size return get checksum length file size get bytes per sum return bytes per checksum get bytes per sum return bytes per checksum get sum buffer size bytes per sum buffer size default buffer size get conf get int local file system config keys local fs stream buffer size key local file system config keys local fs stream buffer size default proportional buffer size buffer size bytes per sum return math max bytes per sum math max proportional buffer size default buffer size for open fs input stream it verifies data matches checksums checksum fs input checker extends fs input checker log log log factory get log fs input checker checksum file system fs fs data input stream datas fs data input stream sums header length bytes per sum file len l checksum fs input checker checksum file system fs path file throws io exception fs file fs get conf get int local file system config keys local fs stream buffer size key local file system config keys local fs stream buffer size default checksum fs input checker checksum file system fs path file buffer size throws io exception super file fs get file status file get replication datas fs get raw file system open file buffer size fs fs path sum file fs get checksum file file try sum buffer size fs get sum buffer size fs get bytes per sum buffer size sums fs get raw file system open sum file sum buffer size byte version new byte checksum version length sums read fully version arrays equals version checksum version throw new io exception not checksum file sum file bytes per sum sums read int set fs verify checksum new pure java crc bytes per sum catch file not found exception e quietly ignore set fs verify checksum null catch io exception e loudly ignore log warn problem opening checksum file file
