	file	label	text
0	common\src\java\org\apache\hadoop\HadoopIllegalArgumentException.java	unrelated	package org apache hadoop indicates method passed illegal invalid argument this exception thrown instead illegal argument exception differentiate exception thrown hadoop implementation one thrown jdk hadoop illegal argument exception extends illegal argument exception serial version uid l constructs exception specified detail message hadoop illegal argument exception string message
1	common\src\java\org\apache\hadoop\HadoopVersionAnnotation.java	unrelated	package org apache hadoop a package attribute captures version hadoop compiled hadoop version annotation get hadoop version string version get username compiled hadoop string user get date hadoop compiled string date get url subversion repository string url get subversion revision string revision get branch compiled string branch get checksum source files hadoop compiled string src checksum
2	common\src\java\org\apache\hadoop\classification\InterfaceAudience.java	unrelated	package org apache hadoop classification annotation inform users package method intended audience interface audience interface audience audience exist
3	common\src\java\org\apache\hadoop\classification\InterfaceStability.java	unrelated	package org apache hadoop classification annotation inform users much rely particular package method changing time interface stability stable evolving unstable
4	common\src\java\org\apache\hadoop\classification\tools\ExcludePrivateAnnotationsJDiffDoclet.java	unrelated	package org apache hadoop classification tools a href http java sun com javase docs jdk api javadoc doclet doclet excluding elements annotated link org apache hadoop classification interface audience private link org apache hadoop classification interface audience limited private it delegates j diff doclet takes options exclude private annotations j diff doclet language version language version boolean start root doc root exclude private annotations j diff doclet get simple name option length string option boolean valid options string options
5	common\src\java\org\apache\hadoop\classification\tools\ExcludePrivateAnnotationsStandardDoclet.java	unrelated	package org apache hadoop classification tools a href http java sun com javase docs jdk api javadoc doclet doclet excluding elements annotated link org apache hadoop classification interface audience private link org apache hadoop classification interface audience limited private it delegates standard doclet takes options exclude private annotations standard doclet language version language version boolean start root doc root exclude private annotations standard doclet get simple name option length string option boolean valid options string options
6	common\src\java\org\apache\hadoop\classification\tools\package-info.java	unrelated	package org apache hadoop classification tools
7	common\src\java\org\apache\hadoop\classification\tools\RootDocProcessor.java	unrelated	package org apache hadoop classification tools process link root doc substituting nested proxy objects exclude elements private limited private annotations p based code http www sixlegs com blog java exclude javadoc tag html root doc processor string stability stability options unstable option root doc process root doc root return root doc process root root doc object process object obj class type obj null class cls obj get class cls get name starts with com sun else obj instanceof object cls get component type array length return obj map object object proxies new weak hash map object object object get proxy object obj object proxy proxies get obj proxy null return proxy exclude handler implements invocation handler object target exclude handler object target object invoke object proxy method method object args throws throwable method name equals included doc doc doc target return exclude doc doc included target instanceof root doc method name equals else method name equals specified classes else method name equals specified packages else target instanceof class doc filtered args else target instanceof package doc method name equals classes class doc else method name equals annotation types annotation type doc else method name equals enums class doc else method name equals errors class doc else method name equals exceptions class doc else method name equals interfaces class doc else method name equals ordinary classes class doc method name equals compare to method name equals equals args unwrap args return process method invoke target args method get return type throw e get target exception boolean exclude doc doc annotations program element doc doc annotations annotations package doc doc annotations annotation desc annotation annotations string qualified type name annotation annotation type qualified type name qualified type name equals stability equals stability options evolving option interface stability unstable get canonical name stability equals stability options stable option interface stability unstable get canonical name object filter doc array class component type return array exclude entry list add process entry component type size object unwrap object proxy return exclude handler proxy get invocation handler proxy target boolean filtered object args
8	common\src\java\org\apache\hadoop\classification\tools\StabilityOptions.java	unrelated	package org apache hadoop classification tools stability options string stable option stable string evolving option evolving string unstable option unstable integer option length string option valid options string options root doc processor stability unstable option root doc processor stability evolving option root doc processor stability stable option string filter options string options options list add options
9	common\src\java\org\apache\hadoop\conf\Configurable.java	unrelated	package org apache hadoop conf something may configured link configuration configurable set configuration used object set conf configuration conf return configuration used object configuration get conf
10	common\src\java\org\apache\hadoop\conf\Configuration.java	unrelated	package org apache hadoop conf provides access configuration parameters id resources resources p configurations specified resources a resource contains set name value pairs xml data each resource named either code string code link path if named code string code classpath examined file name if named code path code local filesystem examined directly without referring classpath p unless explicitly turned hadoop default specifies two resources loaded order classpath ol li tt href doc root core default html core default xml tt read defaults hadoop li li tt core site xml tt site specific configuration given hadoop installation li ol applications may add additional resources loaded subsequent resources order added id final params final parameters p configuration parameters may declared once resource declares value subsequently loaded resource alter value for example one might define parameter tt pre lt property gt lt name gt dfs client buffer dir lt name gt lt value gt tmp hadoop dfs client lt value gt b lt gt true lt gt b lt property gt pre tt administrators typically define parameters tt core site xml tt values user applications may alter id variable expansion variable expansion p value strings first processed variable expansion the available properties ol li other properties defined configuration name undefined li li properties link system get properties li ol p for example configuration resource contains following property definitions tt pre lt property gt lt name gt basedir lt name gt lt value gt user user name lt value gt lt property gt lt property gt lt name gt tempdir lt name gt lt value gt basedir tmp lt value gt lt property gt pre tt when tt conf get tempdir tt called tt basedir tt resolved another property configuration tt user name tt would ordinarily resolved value system property name configuration implements iterable map entry string string log log log factory get log configuration boolean quietmode true list configuration resources array list object resources new array list object the value reported setting resource key set code rather file resource string unknown resource unknown list configuration parameters marked b b set string parameters new hash set string boolean load defaults true configuration objects weak hash map configuration object registry new weak hash map configuration object list default resources resources loaded order list entries copy on write array list string default resources new copy on write array list string map class loader map string class cache classes new weak hash map class loader map string class stores mapping key resource modifies loads key recently hash map string string updating resource class keep information keys replace deprecated ones this stores new keys replace deprecated keys also gives provision custom message deprecated key replaced it also provides method get appropriate warning message logged whenever deprecated key used deprecated key info string new keys string custom message boolean accessed deprecated key info string new keys string custom message string get warning message string key stores deprecated keys new keys replace deprecated keys custom message provided map string deprecated key info deprecated key map stores mapping superseding keys keys deprecate map
11	common\src\java\org\apache\hadoop\conf\Configured.java	unrelated	package org apache hadoop conf base things may configured link configuration configured implements configurable configuration conf construct configured configured construct configured configured configuration conf inherit javadoc set conf configuration conf inherit javadoc configuration get conf
12	common\src\java\org\apache\hadoop\conf\ConfServlet.java	unrelated	package org apache hadoop conf a servlet print running configuration data conf servlet extends http servlet serial version uid l string format json json string format xml xml string format param format return configuration daemon hosting servlet this populated http server starts configuration get conf from context configuration conf configuration get servlet context get attribute assert conf null return conf get http servlet request request http servlet response response do authorization http server administrator access get servlet context request string format request get parameter format param null format format xml equals format else format json equals format writer response get writer try catch bad format exception bfe close guts servlet extracted easy testing write response configuration conf writer string format throws io exception bad format exception format json equals format else format xml equals format else bad format exception extends exception serial version uid l bad format exception string msg
13	common\src\java\org\apache\hadoop\conf\Reconfigurable.java	unrelated	package org apache hadoop conf something whose link configuration changed run time reconfigurable extends configurable change configuration property object value specified change configuration property object value specified return previous value configuration property set null previously set if new val null set property default value if property cannot changed throw link reconfiguration exception string reconfigure property string property string new val return whether given property changeable run time if property reconfigurable returns true property change conf throw exception changing property boolean property reconfigurable string property return properties changed run time collection string get reconfigurable properties
14	common\src\java\org\apache\hadoop\conf\ReconfigurableBase.java	unrelated	package org apache hadoop conf utility base implementing reconfigurable subclasses reconfigure property impl change individual properties get reconfigurable properties get properties changed run time reconfigurable base extends configured implements reconfigurable log log reconfigurable base reconfigurable base configuration conf string reconfigure property string property string new val collection string get reconfigurable properties boolean property reconfigurable string property protected reconfigure property impl string property string new val
15	common\src\java\org\apache\hadoop\conf\ReconfigurationException.java	unrelated	package org apache hadoop conf exception indicating configuration property cannot changed run time reconfiguration exception extends exception serial version uid l string property string new val string old val construct exception message string construct message string property create new instance link reconfiguration exception reconfiguration exception create new instance link reconfiguration exception reconfiguration exception string property create new instance link reconfiguration exception reconfiguration exception string property get property cannot changed string get property get value property supposed changed string get new value get old value property cannot changed string get old value
16	common\src\java\org\apache\hadoop\conf\ReconfigurationServlet.java	unrelated	package org apache hadoop conf a servlet changing node configuration reloads configuration file verifies whether changes possible asks admin approve change reconfiguration servlet extends http servlet serial version uid l log log prefix used fing attribute holding reconfigurable given request get attribute prefix servlet path string conf servlet reconfigurable prefix inherit doc init throws servlet exception reconfigurable get reconfigurable http servlet request req print header print writer string node name print footer print writer print configuration options changed print conf print writer reconfigurable reconf enumeration string get params http servlet request req apply configuratio changes admin approved apply changes print writer reconfigurable reconf inherit doc protected get http servlet request req http servlet response resp inherit doc protected post http servlet request req http servlet response resp
17	common\src\java\org\apache\hadoop\conf\ReconfigurationUtil.java	unrelated	package org apache hadoop conf reconfiguration util property change string prop string old val string new val property change string prop string new val string old val collection property change get changed properties configuration new conf configuration old conf map string property change changes new hash map string property change iterate old configuration map entry string string old entry old conf iterate new configuration look properties present old conf map entry string string new entry new conf return changes values
